car_name,car_price_in_rupees,kms_driven,fuel_type,city,year_of_manufacture,price_numeric,kms_numeric
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],₹ 4.45 Lakh,"22,402 km",Petrol,Mumbai,2016,445000,22402
Maruti Suzuki Alto 800 Lxi,₹ 2.93 Lakh,"10,344 km",Petrol,Kolkata,2019,293000,10344
Tata Safari XZ Plus New,₹ 22.49 Lakh,"12,999 km",Diesel,Bangalore,2021,2249000,12999
Maruti Suzuki Ciaz ZXI+,₹ 6.95 Lakh,"45,000 km",Petrol,Thane,2016,695000,45000
Jeep Compass Sport Plus 1.4 Petrol [2019-2020],₹ 12 Lakh,"11,193 km",Petrol,Kolkata,2019,1200000,11193
Maruti Suzuki Eeco 5 STR WITH A/C+HTR [2019-2020],₹ 3.72 Lakh,"42,906 km",Petrol,Chennai,2017,372000,42906
Hyundai Creta SX Plus 1.6 AT CRDI,₹ 11.5 Lakh,"66,602 km",Diesel,Mumbai,2017,1150000,66602
Maruti Suzuki Ertiga VXi AT,₹ 10.39 Lakh,"13,189 km",Petrol,Bangalore,2019,1039000,13189
Toyota Etios Liva G,₹ 3.75 Lakh,"67,815 km",Petrol,Mumbai,2013,375000,67815
Renault Kwid 1.0 RXT AMT Opt [2016-2019],₹ 4.25 Lakh,"19,509 km",Petrol,Mumbai,2018,425000,19509
Maruti Suzuki Ciaz VDi+ SHVS,₹ 6.75 Lakh,"60,000 km",Diesel,Ahmedabad,2017,675000,60000
Maruti Suzuki Alto 800 LXi (O),₹ 4.49 Lakh,"3,583 km",Petrol,Bangalore,2019,449000,3583
Chevrolet Optra Magnum LS 2.0 TCDi,₹ 3 Lakh,"1,48,000 km",Diesel + 1,Pallikarnai,2007,300000,148000
Maruti Suzuki Vitara Brezza VDi,₹ 9.5 Lakh,"48,748 km",Diesel,Hyderabad,2019,950000,48748
Jeep Compass Longitude 2.0 Diesel [2017-2020],₹ 13.25 Lakh,"38,000 km",Diesel,Thane,2018,1325000,38000
Toyota Corolla Altis VL AT Petrol,₹ 9.25 Lakh,"36,000 km",Petrol,Kolkata,2016,925000,36000
Hyundai Elite i20 Magna Executive 1.2,₹ 6.75 Lakh,"13,747 km",Petrol,Ahmedabad,2017,675000,13747
Mercedes-Benz EQC 400 4MATIC,₹ 95 Lakh,"3,200 km",Electric,Pune,2022,9500000,3200
Ford EcoSport Titanium 1.5L Ti-VCT,₹ 8.71 Lakh,"12,795 km",Petrol,Chennai,2018,871000,12795
Hyundai i10 Magna 1.2 Kappa2,₹ 3.35 Lakh,"41,273 km",Petrol,Mumbai,2014,335000,41273
Hyundai Creta 1.6 SX Plus Petrol Special Edition,₹ 9.88 Lakh,"20,142 km",Petrol,Pune,2016,988000,20142
Porsche 718 Boxster,₹ 1.15 Crore,"6,500 km",Petrol,Pune,2020,1,6500
Kia Seltos HTE 1.5 Diesel,₹ 11 Lakh,"47,103 km",Diesel,Thane,2019,1100000,47103
Maruti Suzuki Ciaz Alpha Hybrid 1.5 AT [2018-2020],₹ 9.9 Lakh,"7,755 km",Petrol,Mumbai,2020,990000,7755
Renault Kwid 1.0 RXL [2017-2019],₹ 3.45 Lakh,"33,513 km",Petrol,Gurgaon,2019,345000,33513
BMW 3 Series 320d Luxury Line,₹ 37.49 Lakh,"24,848 km",Diesel,Kolkata,2019,3749000,24848
Maruti Suzuki Baleno Alpha 1.2,₹ 6.39 Lakh,"34,559 km",Petrol,Delhi,2017,639000,34559
Hyundai i20 Sportz 1.2 IVT,₹ 8.9 Lakh,"4,000 km",Petrol,Ahmedabad,2022,890000,4000
Ford EcoSport Titanium 1.5L Ti-VCT,₹ 6.59 Lakh,"54,544 km",Petrol,Kolkata,2018,659000,54544
Maruti Suzuki Wagon R 1.0 VXI,₹ 3.92 Lakh,"42,247 km",Petrol,Kolkata,2018,392000,42247
Honda Jazz VX Diesel,₹ 8 Lakh,"1,00,000 km",Diesel,Hyderabad,2018,800000,100000
Maruti Suzuki Swift VDi,₹ 7.75 Lakh,"69,000 km",Diesel,Hyderabad,2019,775000,69000
Tata Nexon XZ Plus,₹ 11.52 Lakh,"10,422 km",Petrol,Delhi,2021,1152000,10422
Audi Q3 35 TDI Premium + Sunroof,₹ 16.75 Lakh,"52,000 km",Diesel,Mumbai,2014,1675000,52000
Maruti Suzuki Ciaz Alpha Hybrid 1.5 AT [2018-2020],₹ 8.5 Lakh,"56,255 km",Petrol,Ahmedabad,2019,850000,56255
Hyundai Santro Sportz CNG [2018-2020],₹ 5.93 Lakh,"78,260 km",CNG,Delhi,2021,593000,78260
Maruti Suzuki Alto 800 LXi (O) CNG,₹ 4.15 Lakh,"19,970 km",CNG,Bangalore,2021,415000,19970
MG Hector Plus Sharp 1.5 DCT Petrol,₹ 18.5 Lakh,"9,070 km",Petrol,Ahmedabad,2020,1850000,9070
Ford Figo Duratec Petrol ZXI 1.2,₹ 2.4 Lakh,"73,000 km",Petrol,Thane,2013,240000,73000
Audi Q3 2.0 TDI Base Grade,₹ 11.99 Lakh,"46,336 km",Diesel,Kolkata,2015,1199000,46336
Hyundai Creta SX Plus 1.6  Petrol,₹ 8.95 Lakh,"57,220 km",Petrol,Thane,2016,895000,57220
Honda Jazz ZX,₹ 9.68 Lakh,"7,096 km",Petrol,Pune,2021,968000,7096
Mercedes-Benz EQC 400 4MATIC,₹ 81 Lakh,"21,500 km",Electric,Bangalore,2020,8100000,21500
Hyundai Grand i10 Asta 1.2 Kappa VTVT [2013-2016],₹ 4.93 Lakh,"44,045 km",Petrol,Pune,2015,493000,44045
BMW X1 sDrive20d,₹ 10.5 Lakh,"70,000 km",Diesel,Kolkata,2013,1050000,70000
Maruti Suzuki Swift ZDi Plus,₹ 7.85 Lakh,"32,853 km",Diesel,Thane,2018,785000,32853
BMW 5 Series 520d Luxury Line [2017-2019],₹ 38.99 Lakh,"26,781 km",Diesel,Kolkata,2017,3899000,26781
Skoda Superb L&K TSI AT,₹ 31 Lakh,"45,700 km",Petrol,Ahmedabad,2021,3100000,45700
Maruti Suzuki Swift DZire VXI,₹ 4.85 Lakh,"62,000 km",Petrol,Thane,2014,485000,62000
Maruti Suzuki Wagon R 1.0 LXI CNG,₹ 4.35 Lakh,"73,500 km",CNG,Thane,2017,435000,73500
Maruti Suzuki Wagon R 1.0 LXI CNG,₹ 4.51 Lakh,"74,076 km",CNG,Pune,2017,451000,74076
Tata Tiago Revotron XZA,₹ 5.45 Lakh,"56,355 km",Petrol,Mumbai,2018,545000,56355
Tata Tiago Revotron XT [2016-2019],₹ 4.5 Lakh,"37,000 km",Petrol,Thane,2017,450000,37000
Maruti Suzuki Wagon R LXi 1.0 CNG,₹ 6.81 Lakh,"22,158 km",CNG,Pune,2021,681000,22158
Hyundai Xcent S 1.2,₹ 3.95 Lakh,"62,568 km",Petrol,Noida,2014,395000,62568
Kia Seltos HTK 1.5 [2020-2021],₹ 11.43 Lakh,"19,970 km",Petrol,Pune,2019,1143000,19970
BMW 5 Series 520d Luxury Line,₹ 23 Lakh,"73,900 km",Diesel,Ahmedabad,2015,2300000,73900
Kia Seltos HTE 1.5,₹ 10.5 Lakh,"37,991 km",Petrol,Thane,2020,1050000,37991
Hyundai Creta 1.6 SX Plus AT Petrol,₹ 12.75 Lakh,"58,676 km",Petrol,Mumbai,2018,1275000,58676
Hyundai Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],₹ 5.99 Lakh,"35,104 km",Petrol,Bangalore,2017,599000,35104
Kia Seltos GTX 1.4 Dual Tone,₹ 16.2 Lakh,"51,605 km",Petrol,Pune,2019,1620000,51605
Maruti Suzuki S-Presso VXi,₹ 4.2 Lakh,"17,472 km",Petrol,Delhi,2020,420000,17472
Hyundai Elite i20 Sportz 1.4,₹ 4.75 Lakh,"80,000 km",Diesel,Delhi,2015,475000,80000
Mercedes-Benz GLC 200 Progressive,₹ 66 Lakh,"16,785 km",Petrol,Bangalore,2021,6600000,16785
Mercedes-Benz E-Class E 200,₹ 68.99 Lakh,"3,999 km",Petrol,Bangalore,2020,6899000,3999
Maruti Suzuki Wagon R 1.0 LXI CNG,₹ 4.41 Lakh,"66,882 km",CNG,Pune,2017,441000,66882
Audi A4 35 TDI Technology,₹ 29.5 Lakh,"71,235 km",Diesel,Ahmedabad,2018,2950000,71235
Chevrolet Cruze LTZ AT,₹ 5.9 Lakh,"56,000 km",Diesel,Ahmedabad,2013,590000,56000
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],₹ 4.14 Lakh,"74,938 km",Petrol,Delhi,2016,414000,74938
